SEG_ID,STNAME,school_score,hospital_score,landmark_score,historic_score
880652,STEVENSON ST,100.0,99.9,99.9,100.0
621533,FALLS RD,0.0,0.0,0.0,0.0
401204,N 66TH ST,0.0,0.1,0.0,0.0
421076,N 29TH ST,0.0,0.1,0.3,0.0
521274,RIDGE AVE,0.1,0.0,0.0,0.0
421078,N 29TH ST,0.0,0.0,0.0,0.0
421077,N 29TH ST,0.0,0.0,0.0,0.0
521306,N 15TH ST,75.3,83.7,80.7,12.9
420062,RIDGE AVE,0.0,0.0,0.0,0.0
520432,CECIL B MOORE AVE,0.0,0.0,0.3,0.0
520445,CECIL B MOORE AVE,0.0,0.0,0.0,0.0
520450,CECIL B MOORE AVE,0.0,0.0,0.0,0.0
421082,N 29TH ST,0.0,0.0,4.4,0.0
440049,N BROAD ST,0.0,0.0,0.0,0.0
421061,POPLAR ST,5.5,4.1,23.0,8.3
440001,N BROAD ST,0.0,0.0,0.0,0.0
421079,N 29TH ST,0.0,0.0,0.0,0.0
420084,N 15TH ST,60.1,83.2,75.7,5.0
420107,N 15TH ST,60.0,82.3,80.3,5.0
421080,N 29TH ST,0.0,0.0,0.4,0.0
420119,RIDGE AVE,0.0,0.0,0.0,0.0
421588,RIDGE AVE,0.0,0.0,0.1,0.0
421081,N 29TH ST,0.0,0.0,0.0,0.0
421058,POPLAR ST,14.0,8.0,59.9,5.0
422323,N 15TH ST,60.0,82.3,86.5,17.8
520426,CECIL B MOORE AVE,0.0,0.0,0.0,0.0
520438,CECIL B MOORE AVE,0.0,0.0,0.0,0.0
421075,N 29TH ST,0.1,0.0,0.1,0.0
421060,POPLAR ST,4.9,4.8,35.4,3.3
422029,N 15TH ST,58.4,83.2,75.1,2.1
420165,POPLAR ST,12.2,9.0,20.1,9.2
421083,N 29TH ST,0.0,0.0,0.1,0.0
440016,N BROAD ST,0.0,0.0,0.0,0.0
421589,RIDGE AVE,0.0,0.0,0.1,0.0
420176,POPLAR ST,0.0,0.1,0.9,0.0
420172,POPLAR ST,40.1,9.3,38.1,2.4
421057,POPLAR ST,5.4,6.2,27.6,6.8
421059,POPLAR ST,16.1,9.7,38.7,6.3
422324,N 15TH ST,59.0,82.3,82.6,3.5
422113,POPLAR ST,14.3,8.9,17.9,10.1
420179,POPLAR ST,0.0,0.0,0.4,0.0
421618,CORINTHIAN AVE,16.2,93.3,63.3,83.1
420168,POPLAR ST,10.8,10.4,21.1,6.8
420170,POPLAR ST,29.2,11.5,30.6,2.2
421617,CORINTHIAN AVE,35.3,76.6,44.1,62.4
421559,POPLAR ST,97.1,89.9,72.2,40.8
420193,POPLAR ST,61.7,92.7,81.7,15.9
420191,POPLAR ST,62.1,93.2,75.7,11.7
421577,POPLAR ST,91.8,91.3,75.1,82.8
421576,POPLAR ST,89.8,89.1,81.5,88.2
421581,POPLAR ST,94.7,89.0,88.5,10.2
440111,N BROAD ST,0.0,0.0,0.0,0.0
420195,POPLAR ST,92.4,95.4,93.9,30.6
421590,RIDGE AVE,0.0,0.0,0.0,0.1
420187,POPLAR ST,57.0,92.7,74.9,10.0
420184,POPLAR ST,59.5,94.2,84.1,12.1
420182,POPLAR ST,0.1,0.1,0.1,0.0
421619,CORINTHIAN AVE,11.6,77.2,35.1,59.4
420161,POPLAR ST,3.4,23.6,33.3,7.2
420217,N 15TH ST,78.5,85.7,86.1,5.3
440161,N BROAD ST,0.0,0.0,0.0,0.0
420200,POPLAR ST,82.0,91.0,83.5,22.5
440112,POPLAR ST,91.9,84.9,85.2,18.0
422013,PENNSYLVANIA AVE,0.0,0.0,0.1,0.0
421558,POPLAR ST,89.8,83.7,78.7,22.3
421537,RIDGE AVE,0.0,0.0,0.0,0.0
421575,POPLAR ST,83.7,83.4,86.8,71.3
421536,RIDGE AVE,0.0,0.0,0.0,0.0
421578,POPLAR ST,72.1,94.1,90.2,42.5
421579,POPLAR ST,65.9,84.1,74.7,20.4
421583,POPLAR ST,85.6,78.8,82.4,5.5
421574,POPLAR ST,87.4,87.3,80.5,17.5
421580,POPLAR ST,76.7,85.5,84.3,22.7
421620,CORINTHIAN AVE,9.3,74.3,41.9,78.1
421084,N 29TH ST,0.0,0.0,0.1,0.0
421789,FAIRMOUNT AVE,0.0,0.0,0.0,0.0
421622,CORINTHIAN AVE,5.8,82.0,10.7,8.9
421539,RIDGE AVE,0.0,0.0,0.0,0.0
421794,FAIRMOUNT AVE,0.0,0.0,0.1,0.1
421795,FAIRMOUNT AVE,0.0,0.1,0.2,0.0
421792,FAIRMOUNT AVE,0.0,0.0,0.1,0.0
421633,CORINTHIAN AVE,17.4,75.6,35.7,75.7
422011,PENNSYLVANIA AVE,0.0,0.0,0.2,0.0
421793,FAIRMOUNT AVE,0.0,0.0,0.1,0.0
421582,POPLAR ST,90.4,83.7,89.6,7.0
421556,POPLAR ST,91.0,84.9,85.6,11.3
422012,PENNSYLVANIA AVE,0.0,0.0,0.1,0.0
421621,CORINTHIAN AVE,35.6,82.4,43.0,14.6
421456,RIDGE AVE,0.0,0.0,0.0,0.0
421540,RIDGE AVE,0.0,0.0,0.0,0.0
421532,N 15TH ST,88.1,83.7,79.9,21.0
421555,POPLAR ST,96.1,89.9,71.5,35.2
421447,FAIRMOUNT AVE,0.1,0.0,0.0,0.0
421464,N 15TH ST,52.8,79.8,74.3,5.2
421791,FAIRMOUNT AVE,0.0,0.1,0.8,0.1
421819,FAIRMOUNT AVE,0.0,0.0,0.1,0.0
421463,N 15TH ST,62.1,84.3,77.3,3.8
421461,N 15TH ST,81.8,89.9,91.8,15.1
440199,N BROAD ST,0.0,0.3,0.1,0.1
421535,N 15TH ST,77.4,84.3,88.9,25.5
421458,RIDGE AVE,0.0,0.0,0.0,0.0
421448,FAIRMOUNT AVE,0.3,0.0,0.0,0.0
421457,RIDGE AVE,0.3,0.0,0.0,0.1
422014,PENNSYLVANIA AVE,0.0,0.0,0.1,0.0
421459,RIDGE AVE,0.0,0.0,0.0,0.0
421462,N 15TH ST,77.1,79.7,78.2,14.5
422107,N 15TH ST,75.0,85.5,75.5,9.5
423028,N 21ST ST,67.5,91.2,80.6,4.3
422004,N 15TH ST,68.6,88.5,83.1,10.6
421788,FAIRMOUNT AVE,0.0,0.0,0.0,0.0
421837,N 15TH ST,0.0,0.0,0.0,0.0
421797,N 21ST ST,67.5,91.2,86.1,7.4
421798,N 21ST ST,64.6,92.7,83.4,6.9
440257,N BROAD ST,0.1,0.0,0.0,0.0
440240,N BROAD ST,0.2,0.0,0.0,0.0
421453,FAIRMOUNT AVE,0.0,0.0,0.0,0.0
421451,FAIRMOUNT AVE,0.0,0.0,0.0,0.0
421454,FAIRMOUNT AVE,0.0,0.0,0.0,0.0
421452,FAIRMOUNT AVE,0.3,0.0,0.0,0.0
421799,N 21ST ST,65.1,92.7,80.0,6.9
